time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-31T17:06:28.400Z,35.7073333,-117.5301667,9.53,2.6,ml,57,51,0.07509,0.13,ci,ci38676663,2021-10-06T17:42:08.730Z,"13km WSW of Searles Valley, CA",earthquake,0.11,0.25,0.133,24,reviewed,ci,ci
2019-07-31T13:03:35.220Z,35.665,-117.5385,9.32,2.81,ml,44,37,0.04959,0.13,ci,ci38676103,2021-10-06T14:55:34.650Z,"13km ENE of Ridgecrest, CA",earthquake,0.13,0.29,0.218,25,reviewed,ci,ci
2019-07-31T12:37:57.910Z,35.7335,-117.5368333,1.51,2.7,ml,59,51,0.1002,0.15,ci,ci38676031,2021-10-06T17:31:02.150Z,"13km WSW of Searles Valley, CA",earthquake,0.11,0.21,0.134,24,reviewed,ci,ci
2019-07-30T16:30:56.350Z,35.6666667,-117.5063333,10.24,3.5,mlr,73,22,0.03152,0.15,ci,ci38672303,2021-10-05T22:47:44.840Z,"14km SW of Searles Valley, CA",earthquake,0.11,0.2,0.155,99,reviewed,ci,ci
2019-07-30T11:38:05.890Z,35.6375,-117.4975,10.37,2.69,ml,54,31,0.01807,0.13,ci,ci38671143,2021-09-10T22:35:05.290Z,"16km E of Ridgecrest, CA",earthquake,0.11,0.17,0.183,28,reviewed,ci,ci
2019-07-29T21:39:58.110Z,35.7025,-117.5301667,8.29,2.59,ml,45,50,0.07118,0.15,ci,ci38668159,2021-09-03T23:28:27.440Z,"14km WSW of Searles Valley, CA",earthquake,0.14,0.41,0.19,24,reviewed,ci,ci
2019-07-29T19:33:43.600Z,35.6445,-117.501,4.1,2.78,ml,50,34,0.01909,0.14,ci,ci38667735,2021-09-03T22:10:42.550Z,"16km E of Ridgecrest, CA",earthquake,0.12,0.26,0.152,25,reviewed,ci,ci
2019-07-29T16:51:57.230Z,35.6873333,-117.5461667,4.42,2.96,ml,79,39,0.06778,0.14,ci,ci38666991,2021-10-05T22:38:30.980Z,"14km ENE of Ridgecrest, CA",earthquake,0.08,0.22,0.194,55,reviewed,ci,ci
2019-07-29T14:22:15.910Z,35.6603333,-117.5066667,9.79,2.5,ml,54,26,0.02792,0.13,ci,ci38666295,2021-09-10T22:22:43.230Z,"15km SW of Searles Valley, CA",earthquake,0.12,0.22,0.167,27,reviewed,ci,ci
2019-07-29T07:02:58.300Z,35.736,-117.5803333,9.54,2.94,ml,60,38,0.08079,0.16,ci,ci38664839,2021-10-05T22:25:20.590Z,"15km NE of Ridgecrest, CA",earthquake,0.12,0.29,0.164,99,reviewed,ci,ci
2019-07-29T05:56:13.800Z,35.6191667,-117.43,9.66,2.63,ml,42,52,0.04185,0.13,ci,ci38664575,2021-09-03T23:04:11.850Z,"17km S of Searles Valley, CA",earthquake,0.17,0.26,0.151,23,reviewed,ci,ci
2019-07-29T02:09:58.350Z,35.7661667,-117.5795,6.84,2.93,ml,55,56,0.05159,0.17,ci,ci38663807,2021-09-03T21:08:02.320Z,"16km W of Searles Valley, CA",earthquake,0.14,0.4,0.214,24,reviewed,ci,ci
2019-07-28T22:25:04.150Z,35.6728333,-117.5273333,7.91,2.75,ml,49,34,0.04883,0.13,ci,ci38663143,2021-09-03T19:24:26.970Z,"15km ENE of Ridgecrest, CA",earthquake,0.12,0.32,0.143,23,reviewed,ci,ci
2019-07-28T21:18:27.440Z,35.7565,-117.5718333,3.61,2.6,ml,49,47,0.06269,0.13,ci,ci38662935,2021-09-03T15:02:24.996Z,"15km W of Searles Valley, CA",earthquake,0.12,0.4,0.133,23,reviewed,ci,ci
2019-07-28T08:23:00.040Z,35.6841667,-117.5245,9.28,2.93,ml,77,25,0.05429,0.14,ci,ci38659655,2021-09-03T20:48:06.760Z,"14km SW of Searles Valley, CA",earthquake,0.09,0.2,0.104,53,reviewed,ci,ci
2019-07-27T23:40:13.230Z,35.6933333,-117.5303333,8.27,2.52,ml,52,44,0.0642,0.13,ci,ci38657311,2021-09-02T22:13:01.860Z,"14km SW of Searles Valley, CA",earthquake,0.11,0.3,0.236,22,reviewed,ci,ci
2019-07-27T19:15:18.880Z,35.6743333,-117.5231667,8.27,2.6,ml,57,35,0.04695,0.14,ci,ci38656095,2021-09-02T21:50:48.300Z,"15km SW of Searles Valley, CA",earthquake,0.12,0.27,0.173,25,reviewed,ci,ci
2019-07-27T10:30:54.410Z,35.637,-117.474,1.9,3.91,mw,76,33,0.008974,0.16,ci,ci38653975,2021-09-02T22:33:16.600Z,"16km SSW of Searles Valley, CA",earthquake,0.1,0.14,,4,reviewed,ci,ci
2019-07-27T01:35:37.530Z,35.5338333,-117.3666667,9.07,3.56,ml,70,43,0.009033,0.16,ci,ci38652167,2021-10-05T21:53:18.180Z,"26km S of Trona, CA",earthquake,0.12,0.25,0.162,165,reviewed,ci,ci
2019-07-26T21:11:48.580Z,35.637,-117.5013333,9.9,2.55,ml,49,33,0.02111,0.15,ci,ci38651039,2021-09-02T18:34:13.170Z,"16km E of Ridgecrest, CA",earthquake,0.13,0.24,0.226,23,reviewed,ci,ci
2019-07-26T12:13:20.090Z,35.605,-117.6006667,5,2.97,ml,79,19,0.03083,0.14,ci,ci38648599,2021-09-02T20:22:00.290Z,"7km ESE of Ridgecrest, CA",earthquake,0.08,0.19,0.198,62,reviewed,ci,ci
2019-07-26T10:51:11.300Z,35.5643333,-117.4008333,3.89,2.66,ml,54,37,0.01871,0.17,ci,ci38648223,2021-09-02T18:23:03.610Z,"22km S of Trona, CA",earthquake,0.14,0.25,0.141,22,reviewed,ci,ci
2019-07-26T01:42:09.170Z,35.6455,-117.4526667,9.98,3.06,ml,59,38,0.02031,0.14,ci,ci38645471,2021-09-02T20:04:45.690Z,"14km SSW of Searles Valley, CA",earthquake,0.11,0.18,0.162,92,reviewed,ci,ci
2019-07-26T01:20:16.530Z,35.6486667,-117.4406667,10.17,2.78,ml,57,59,0.02147,0.14,ci,ci38645295,2021-09-01T23:17:25.780Z,"14km SSW of Searles Valley, CA",earthquake,0.12,0.18,0.176,21,reviewed,ci,ci
2019-07-26T01:18:03.340Z,35.5481667,-117.3788333,4.65,2.63,ml,51,49,0.02594,0.17,ci,ci38645287,2021-09-01T22:18:28.730Z,"24km S of Trona, CA",earthquake,0.14,0.24,0.173,20,reviewed,ci,ci
2019-07-25T22:40:17.210Z,35.6021667,-117.431,5.56,2.66,ml,51,24,0.02787,0.15,ci,ci38644551,2021-09-01T21:14:56.260Z,"18km S of Searles Valley, CA",earthquake,0.13,0.27,0.137,24,reviewed,ci,ci
2019-07-25T19:29:09.500Z,35.6545,-117.4968333,3.29,2.52,ml,56,31,0.01806,0.16,ci,ci38643719,2021-09-01T22:37:37.770Z,"15km SW of Searles Valley, CA",earthquake,0.12,0.17,0.168,24,reviewed,ci,ci
2019-07-25T17:19:23.840Z,35.7136667,-117.5501667,6.92,2.62,ml,56,47,0.09009,0.14,ci,ci38643143,2021-09-01T21:28:31.458Z,"14km WSW of Searles Valley, CA",earthquake,0.12,0.33,0.173,25,reviewed,ci,ci
