time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-07-29T16:08:02.359Z,55.5285,-155.7524,37.2,4.5,ml,,,,0.41,ak,ak0219nkffxs,2021-10-03T05:24:53.040Z,"185 km SSW of Akhiok, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2021-07-29T13:17:50.035Z,55.7155,-155.9787,28.3,4.5,ml,,,,0.69,ak,ak0219nip9p1,2021-10-03T05:23:22.040Z,"164 km ESE of Chignik, Alaska",earthquake,,2.1,,,reviewed,ak,ak
2021-07-29T09:55:19.656Z,55.3696,-155.5474,10,4.8,mb,,81,1.867,0.67,us,us6000f069,2021-10-03T05:23:14.040Z,"195 km SSW of Akhiok, Alaska",earthquake,7.7,1.9,0.139,31,reviewed,us,us
2021-07-29T09:53:42.480Z,55.2581,-156.9056,40.9,4.6,ml,,,,0.57,ak,ak0219ngj8nf,2021-10-03T05:23:13.040Z,"148 km SE of Chignik, Alaska",earthquake,,1.3,,,reviewed,ak,ak
2021-07-29T09:28:23.391Z,55.2815,-157.4372,25.8,4.7,ml,,,,0.59,ak,ak0219ngdto6,2021-10-03T05:23:11.040Z,"128 km SSE of Chignik, Alaska",earthquake,,1.2,,,reviewed,ak,ak
2021-07-29T08:09:44.521Z,55.1325,-157.0203,19.3,4.6,ml,,,,0.71,ak,ak0219nfockj,2021-10-03T05:23:07.040Z,"155 km SSE of Chignik, Alaska",earthquake,,1.3,,,reviewed,ak,ak
2021-07-29T07:32:33.773Z,54.9457,-157.3926,12,4.5,ml,,,,0.73,ak,ak0219nf7v8j,2021-10-03T05:23:05.040Z,"154 km SE of Perryville, Alaska",earthquake,,1.6,,,reviewed,ak,ak
2021-07-29T06:47:25.520Z,55.0371,-157.6473,26.4,4.8,ml,,,,0.67,ak,ak0219nepm7d,2021-12-21T01:24:08.859Z,"135 km SE of Perryville, Alaska",earthquake,,1,,,reviewed,ak,ak
2021-07-29T06:45:12.323Z,55.002,-157.554,24.9,4.5,ml,,,,0.57,ak,ak0219nep5no,2021-10-03T05:23:08.040Z,"142 km SE of Perryville, Alaska",earthquake,,2.2,,,reviewed,ak,ak
2021-07-29T06:44:01.945Z,55.3139,-155.4004,10,4.7,mb,,162,2.247,0.41,us,us6000f2fi,2021-10-03T05:24:29.040Z,"197 km SSW of Akhiok, Alaska",earthquake,6.6,1.8,0.317,4,reviewed,us,us
2021-07-29T06:39:15.596Z,55.0539,-157.1399,33.65,4.8,mb,,154,1.43,0.58,us,us6000f2fx,2021-10-03T05:24:32.040Z,"158 km SE of Perryville, Alaska",earthquake,7.2,11.5,0.277,4,reviewed,us,us
2021-07-29T06:36:04.702Z,55.2148,-157.3565,25,4.5,ml,,,,0.59,ak,ak0219nen7h2,2021-10-03T05:24:59.040Z,"136 km SE of Perryville, Alaska",earthquake,,3.5,,,reviewed,ak,ak
2021-07-29T06:32:33.359Z,55.2549,-156.7677,2.9,5.4,ml,,,,0.54,ak,ak0219nemeqt,2021-12-21T01:22:30.040Z,"154 km SE of Chignik, Alaska",earthquake,,1,,,reviewed,ak,ak
2021-07-29T06:28:49.707Z,55.1526,-157.6035,35,5.3,mb,,147,1.189,0.65,us,us6000f2gk,2021-10-03T05:24:35.040Z,"128 km SE of Perryville, Alaska",earthquake,6.3,2,0.137,18,reviewed,us,us
2021-07-29T06:28:22.835Z,55.4498,-157.5893,8.9,4.5,ml,,,,0.49,ak,ak0219nelj7h,2021-10-03T05:24:28.040Z,"106 km SSE of Chignik, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2021-07-29T06:23:27.003Z,55.3726,-157.205,0.8,5.9,ml,,,,0.77,ak,ak0219nekhhk,2021-12-21T01:19:13.995Z,"127 km SE of Chignik, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2021-07-29T06:23:02.270Z,55.8758,-156.9924,35,5.7,mb,,122,0.903,0.66,us,us6000f2gj,2021-10-03T05:24:35.040Z,"99 km ESE of Chignik, Alaska",earthquake,7,2,0.165,13,reviewed,us,us
2021-07-29T06:20:44.450Z,55.2218,-157.7952,35,5.1,ml,,162,1.104,0.99,us,us6000f03q,2021-10-03T05:23:05.040Z,"114 km SE of Perryville, Alaska",earthquake,5.1,2,0.115,10,reviewed,us,us
2021-07-29T06:19:27.972Z,55.1016,-158.2373,18.4,5.5,ml,,,,0.78,ak,ak0219nejm3h,2021-10-03T05:23:04.040Z,"106 km SSE of Perryville, Alaska",earthquake,,2.9,,,reviewed,ak,ak
2021-07-29T06:15:49.188Z,55.3635,-157.8876,35,8.2,mww,,,,0.95,ak,ak0219neiszm,2022-07-29T06:25:52.812Z,"99 km SE of Perryville, Alaska",earthquake,,0,,,reviewed,ak,ak
